metric,value
Year=2018; Rating=[150000 - 160000],25
Year=2015; Rating=[190000 - 200000],19
Year=2020; Rating=[150000 - 160000],30
Year=2015; Rating=[160000 - 170000],35
Year=2012; Rating=[20000 - 30000],318
Year=2015; Rating=[40000 - 50000],244
Year=2022; Rating=[50000 - 60000],31
Year=2020; Rating=[140000 - 150000],45
Year=2015; Rating=[10000 - 20000],1386
Year=2013; Rating=[20000 - 30000],462
Year=2015; Rating=[530000 - 540000],2
Year=2017; Rating=[680000 - 690000],5
Year=2014; Rating=[160000 - 170000],26
Year=2021; Rating=[40000 - 50000],175
Year=2016; Rating=[160000 - 170000],37
Year=2016; Rating=[70000 - 80000],131
Year=2018; Rating=[750000 - 760000],3
Year=2014; Rating=[10000 - 20000],1313
Year=2020; Rating=[100000 - 110000],68
Year=2016; Rating=[110000 - 120000],44
Year=2014; Rating=[40000 - 50000],269
Year=2014; Rating=[320000 - 330000],9
Year=2012; Rating=[0 - 10000],24468
Year=2012; Rating=[360000 - 370000],4
Year=2020; Rating=[270000 - 280000],9
Year=2022; Rating=[20000 - 30000],152
Year=2018; Rating=[120000 - 130000],53
Year=2013; Rating=[430000 - 440000],8
Year=2016; Rating=[20000 - 30000],675
Year=2020; Rating=[600000 - 610000],7
Year=2013; Rating=[50000 - 60000],127
Year=2021; Rating=[20000 - 30000],490
Year=2016; Rating=[420000 - 430000],7
Year=2015; Rating=[20000 - 30000],643
Year=2017; Rating=[40000 - 50000],291
Year=2020; Rating=[310000 - 320000],7
Year=2013; Rating=[3930000 - 3940000],1
Year=2019; Rating=[190000 - 200000],32
Year=2014; Rating=[150000 - 160000],28
Year=2018; Rating=[30000 - 40000],426
Year=2011; Rating=[410000 - 420000],3
Year=2020; Rating=[360000 - 370000],10
Year=2015; Rating=[170000 - 180000],35
Year=2019; Rating=[20000 - 30000],788
Year=2020; Rating=[130000 - 140000],38
Year=2020; Rating=[40000 - 50000],265
Year=2021; Rating=[30000 - 40000],276
Year=2022; Rating=[10000 - 20000],417
Year=2020; Rating=[120000 - 130000],48
Year=2018; Rating=[110000 - 120000],57
Year=2018; Rating=[970000 - 980000],2
Year=2012; Rating=[10000 - 20000],707
Year=2019; Rating=[200000 - 210000],19
Year=2014; Rating=[20000 - 30000],666
Year=2019; Rating=[110000 - 120000],70
Year=2019; Rating=[90000 - 100000],89
Year=2014; Rating=[200000 - 210000],13
Year=2014; Rating=[50000 - 60000],197
Year=2010; Rating=[70000 - 80000],19
Year=2018; Rating=[1720000 - 1730000],1
Year=2019; Rating=[290000 - 300000],9
Year=2014; Rating=[120000 - 130000],61
Year=2013; Rating=[0 - 10000],41785
Year=2017; Rating=[250000 - 260000],20
Year=2021; Rating=[940000 - 950000],2
Year=2014; Rating=[70000 - 80000],135
Year=2018; Rating=[60000 - 70000],142
Year=2020; Rating=[180000 - 190000],17
Year=2020; Rating=[160000 - 170000],28
Year=2016; Rating=[10000 - 20000],1498
Year=2012; Rating=[300000 - 310000],10
Year=2015; Rating=[990000 - 1000000],3
Year=2015; Rating=[280000 - 290000],8
Year=2019; Rating=[720000 - 730000],1
Year=2022; Rating=[60000 - 70000],25
Year=2011; Rating=[0 - 10000],13250
Year=2011; Rating=[1310000 - 1320000],1
Year=2015; Rating=[60000 - 70000],165
Year=2016; Rating=[90000 - 100000],104
Year=2018; Rating=[90000 - 100000],98
Year=2018; Rating=[480000 - 490000],6
Year=2011; Rating=[30000 - 40000],141
Year=2015; Rating=[550000 - 560000],2
Year=2010; Rating=[10000 - 20000],206
Year=2011; Rating=[110000 - 120000],33
Year=2017; Rating=[750000 - 760000],5
Year=2019; Rating=[180000 - 190000],21
Year=2013; Rating=[70000 - 80000],88
Year=2018; Rating=[470000 - 480000],4
Year=2015; Rating=[0 - 10000],101039
Year=2016; Rating=[0 - 10000],141294
Year=2015; Rating=[370000 - 380000],6
Year=2013; Rating=[210000 - 220000],17
Year=2014; Rating=[110000 - 120000],58
Year=2010; Rating=[20000 - 30000],125
Year=2015; Rating=[980000 - 990000],2
Year=2018; Rating=[710000 - 720000],3
Year=2017; Rating=[170000 - 180000],30
Year=2011; Rating=[250000 - 260000],3
Year=2017; Rating=[2720000 - 2730000],1
Year=2015; Rating=[410000 - 420000],4
Year=2013; Rating=[1250000 - 1260000],2
Year=2013; Rating=[19490000 - 19500000],1
Year=2017; Rating=[1090000 - 1100000],1
Year=2019; Rating=[270000 - 280000],6
Year=2016; Rating=[250000 - 260000],11
Year=2015; Rating=[90000 - 100000],68
Year=2014; Rating=[540000 - 550000],2
Year=2010; Rating=[390000 - 400000],3
Year=2017; Rating=[11400000 - 11410000],1
Year=2015; Rating=[2660000 - 2670000],1
Year=2014; Rating=[220000 - 230000],27
Year=2017; Rating=[160000 - 170000],35
Year=2018; Rating=[1350000 - 1360000],1
Year=2021; Rating=[200000 - 210000],5
Year=2011; Rating=[260000 - 270000],11
Year=2013; Rating=[5060000 - 5070000],1
Year=2012; Rating=[80000 - 90000],62
Year=2017; Rating=[330000 - 340000],14
Year=2018; Rating=[390000 - 400000],10
Year=2012; Rating=[200000 - 210000],13
Year=2020; Rating=[2070000 - 2080000],1
Year=2015; Rating=[100000 - 110000],79
Year=2015; Rating=[740000 - 750000],6
Year=2017; Rating=[480000 - 490000],6
Year=2012; Rating=[490000 - 500000],3
Year=2017; Rating=[100000 - 110000],74
Year=2021; Rating=[170000 - 180000],17
Year=2019; Rating=[1010000 - 1020000],3
Year=2021; Rating=[100000 - 110000],39
Year=2013; Rating=[130000 - 140000],30
Year=2013; Rating=[700000 - 710000],4
Year=2020; Rating=[60000 - 70000],150
Year=2013; Rating=[90000 - 100000],51
Year=2011; Rating=[100000 - 110000],27
Year=2016; Rating=[300000 - 310000],12
Year=2016; Rating=[50000 - 60000],199
Year=2017; Rating=[60000 - 70000],154
Year=2018; Rating=[210000 - 220000],18
Year=2019; Rating=[80000 - 90000],97
Year=2021; Rating=[540000 - 550000],2
Year=2019; Rating=[210000 - 220000],18
Year=2015; Rating=[140000 - 150000],49
Year=2011; Rating=[40000 - 50000],107
Year=2015; Rating=[360000 - 370000],7
Year=2012; Rating=[30000 - 40000],190
Year=2015; Rating=[1760000 - 1770000],2
Year=2012; Rating=[40000 - 50000],155
Year=2016; Rating=[650000 - 660000],4
Year=2016; Rating=[510000 - 520000],4
Year=2019; Rating=[300000 - 310000],11
Year=2017; Rating=[920000 - 930000],2
Year=2015; Rating=[260000 - 270000],15
Year=2015; Rating=[4310000 - 4320000],1
Year=2018; Rating=[220000 - 230000],14
Year=2014; Rating=[530000 - 540000],4
Year=2014; Rating=[80000 - 90000],103
Year=2021; Rating=[320000 - 330000],2
Year=2012; Rating=[230000 - 240000],10
Year=2015; Rating=[1620000 - 1630000],2
Year=2016; Rating=[150000 - 160000],32
Year=2012; Rating=[570000 - 580000],5
Year=2017; Rating=[270000 - 280000],12
Year=2011; Rating=[15650000 - 15660000],1
Year=2016; Rating=[410000 - 420000],13
Year=2019; Rating=[630000 - 640000],2
Year=2013; Rating=[60000 - 70000],91
Year=2016; Rating=[130000 - 140000],44
Year=2012; Rating=[160000 - 170000],17
Year=2018; Rating=[100000 - 110000],70
Year=2014; Rating=[2090000 - 2100000],2
Year=2017; Rating=[230000 - 240000],18
Year=2019; Rating=[620000 - 630000],3
Year=2022; Rating=[40000 - 50000],29
Year=2019; Rating=[520000 - 530000],4
Year=2011; Rating=[20000 - 30000],226
