metric,value
Free=true; Genre=EVENTS; Year=2012,13
Free=false; Genre=EVENTS; Year=2020,18
Free=true; Genre=EVENTS; Year=2010,3
Free=false; Genre=EVENTS; Year=2019,10
Free=false; Genre=ENTERTAINMENT; Year=2010,29
Free=false; Genre=GAME_ADVENTURE; Year=2011,26
Free=false; Genre=GAME_ACTION; Year=2010,2
Free=false; Genre=GAME_ADVENTURE; Year=2010,1
Free=false; Genre=FOOD_AND_DRINK; Year=2015,7
Free=false; Genre=GAME_CASINO; Year=2015,36
Free=true; Genre=FOOD_AND_DRINK; Year=2010,23
Free=false; Genre=GAME_CASINO; Year=2016,40
Free=false; Genre=GAME_CASINO; Year=2021,25
Free=false; Genre=FOOD_AND_DRINK; Year=2013,5
Free=false; Genre=FOOD_AND_DRINK; Year=2011,3
Free=false; Genre=GAME_CASINO; Year=2019,25
Free=false; Genre=FOOD_AND_DRINK; Year=2016,43
Free=false; Genre=GAME_CASINO; Year=2011,5
Free=false; Genre=FOOD_AND_DRINK; Year=2010,2
Free=false; Genre=FOOD_AND_DRINK; Year=2014,7
Free=false; Genre=FOOD_AND_DRINK; Year=2012,4
Free=false; Genre=GAME_CASINO; Year=2017,28
Free=false; Genre=GAME_CARD; Year=2010,8
Free=false; Genre=SOCIAL; Year=2010,6
Free=false; Genre=SHOPPING; Year=2016,23
Free=false; Genre=SHOPPING; Year=2015,14
Free=false; Genre=SHOPPING; Year=2014,13
Free=false; Genre=SHOPPING; Year=2012,9
Free=false; Genre=SOCIAL; Year=2011,6
Free=false; Genre=SHOPPING; Year=2011,6
Free=true; Genre=MAPS_AND_NAVIGATION; Year=2009,3
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2009,8
Free=true; Genre=BUSINESS; Year=2009,2
Free=true; Genre=MUSIC_AND_AUDIO; Year=2009,2
Free=true; Genre=LIFESTYLE; Year=2009,3
Free=true; Genre=PRODUCTIVITY; Year=2009,6
Free=true; Genre=GAME_ARCADE; Year=2009,2
Free=true; Genre=SHOPPING; Year=2009,4
Free=true; Genre=TOOLS; Year=2009,24
Free=true; Genre=COMMUNICATION; Year=2009,3
Free=true; Genre=LIBRARIES_AND_DEMO; Year=2009,2
Free=true; Genre=SPORTS; Year=2009,2
Free=true; Genre=ART_AND_DESIGN; Year=2009,1
Free=true; Genre=GAME_CASINO; Year=2009,1
Free=true; Genre=GAME_ADVENTURE; Year=2009,1
Free=true; Genre=SOCIAL; Year=2009,1
Free=false; Genre=VIDEO_PLAYERS; Year=2009,1
Free=true; Genre=TRAVEL_AND_LOCAL; Year=2009,2
Free=true; Genre=GAME_CARD; Year=2009,1
Free=true; Genre=WEATHER; Year=2009,1
Free=false; Genre=GAME_PUZZLE; Year=2009,1
Free=true; Genre=GAME_CASUAL; Year=2009,2
Free=true; Genre=GAME_PUZZLE; Year=2009,7
Free=true; Genre=VIDEO_PLAYERS; Year=2009,1
Free=true; Genre=ENTERTAINMENT; Year=2009,2
Free=false; Genre=GAME_TRIVIA; Year=2011,1
Free=true; Genre=HEALTH_AND_FITNESS; Year=2009,1
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2009,2
Free=false; Genre=FINANCE; Year=2009,1
Free=true; Genre=FINANCE; Year=2009,8
Free=false; Genre=GAME_ADVENTURE; Year=2009,1
Free=false; Genre=EVENTS; Year=2013,1
Free=false; Genre=SPORTS; Year=2009,2
Free=false; Genre=PRODUCTIVITY; Year=2009,4
Free=false; Genre=TOOLS; Year=2009,3
Year=2018; score=1000000 - 1100000,4446
Year=2017; score=5000000 - 5100000,1004
Year=2016; score=5000000 - 5100000,817
Year=2014; score=0 - 100000,58443
Year=2019; score=0 - 100000,488289
Year=2013; score=10000000 - 10100000,515
Year=2020; score=1000000 - 1100000,4178
Year=2013; score=1000000 - 1100000,2086
Year=2021; score=0 - 100000,696987
Year=2017; score=0 - 100000,194967
Year=2021; score=5000000 - 5100000,491
Year=2020; score=100000 - 200000,16498
Year=2015; score=1000000 - 1100000,3467
Year=2010; score=1000000 - 1100000,517
Year=2016; score=1000000 - 1100000,4028
Year=2022; score=5000000 - 5100000,131
Year=2012; score=1000000 - 1100000,1638
Year=2018; score=10000000 - 10100000,833
Year=2012; score=500000 - 600000,1120
Year=2018; score=500000 - 600000,3542
Year=2018; score=0 - 100000,275028
Year=2014; score=100000 - 200000,7465
Year=2022; score=0 - 100000,577938
Year=2012; score=5000000 - 5100000,388
Year=2020; score=100000000 - 100100000,47
Year=2012; score=0 - 100000,19354
Year=2013; score=500000 - 600000,1557
Year=2016; score=10000000 - 10100000,804
Year=2020; score=10000000 - 10100000,763
Year=2015; score=50000000 - 50100000,106
Year=2017; score=50000000 - 50100000,128
Year=2010; score=100000 - 200000,839
Year=2016; score=0 - 100000,125823
Year=2019; score=5000000 - 5100000,963
Year=2014; score=50000000 - 50100000,97
Year=2012; score=100000 - 200000,3759
Year=2011; score=0 - 100000,9851
Year=2020; score=500000 - 600000,3637
Year=2011; score=5000000 - 5100000,309
Year=2011; score=500000000 - 500100000,5
Year=2013; score=100000 - 200000,5303
Year=2017; score=1000000 - 1100000,4652
Year=2014; score=5000000 - 5100000,705
Year=2019; score=500000 - 600000,3887
Year=2019; score=1000000 - 1100000,4905
Year=2022; score=500000 - 600000,1154
Year=2015; score=5000000 - 5100000,715
Year=2011; score=100000 - 200000,2406
Year=2020; score=50000000 - 50100000,86
Year=2010; score=500000 - 600000,266
Year=2013; score=500000000 - 500100000,7
Year=2022; score=100000 - 200000,6671
Year=2014; score=10000000 - 10100000,700
Year=2017; score=10000000 - 10100000,860
Year=2010; score=5000000 - 5100000,182
Year=2013; score=0 - 100000,34825
Year=2020; score=5000000 - 5100000,736
Year=2017; score=100000 - 200000,13613
Year=2017; score=500000 - 600000,3523
Year=2019; score=50000000 - 50100000,108
Year=2018; score=50000000 - 50100000,110
Year=2011; score=1000000 - 1100000,1164
Year=2021; score=10000000 - 10100000,491
Year=2014; score=1000000 - 1100000,3085
Year=2022; score=10000000 - 10100000,88
Year=2022; score=1000000 - 1100000,1049
Year=2014; score=100000000 - 100100000,89
Year=2019; score=100000 - 200000,16563
Year=2015; score=0 - 100000,87992
Year=2018; score=100000000 - 100100000,77
Year=2019; score=10000000 - 10100000,842
Year=2012; score=10000000 - 10100000,432
Year=2015; score=100000 - 200000,9709
Year=2021; score=500000 - 600000,2740
Year=2015; score=10000000 - 10100000,733
Year=2016; score=100000 - 200000,11124
Year=2021; score=1000000 - 1100000,2887
Year=2020; score=0 - 100000,671772
Year=2013; score=100000000 - 100100000,71
Year=2010; score=0 - 100000,2609
Year=2015; score=500000 - 600000,2469
Year=2018; score=100000 - 200000,14284
Year=2018; score=5000000 - 5100000,891
Year=2016; score=500000 - 600000,3036
Year=2021; score=50000000 - 50100000,43
Year=2021; score=100000 - 200000,13681
Year=2014; score=500000 - 600000,2090
Year=2011; score=500000 - 600000,764
Year=2011; score=10000000 - 10100000,325
Year=2016; score=100000000 - 100100000,76
Year=2015; score=100000000 - 100100000,73
Year=2016; score=50000000 - 50100000,86
Year=2019; score=1000000000 - 1000100000,2
Year=2011; score=100000000 - 100100000,35
Year=2013; score=5000000 - 5100000,453
Year=2012; score=50000000 - 50100000,88
Year=2010; score=10000000 - 10100000,220
Year=2017; score=100000000 - 100100000,61
Year=2019; score=100000000 - 100100000,63
Year=2010; score=100000000 - 100100000,44
Year=2010; score=1000000000 - 1000100000,8
Year=2012; score=100000000 - 100100000,54
Year=2015; score=1000000000 - 1000100000,11
Year=2017; score=1000000000 - 1000100000,13
Year=2011; score=50000000 - 50100000,55
Year=2019; score=500000000 - 500100000,3
Year=2012; score=500000000 - 500100000,10
Year=2013; score=1000000000 - 1000100000,7
Year=2013; score=50000000 - 50100000,65
Year=2010; score=50000000 - 50100000,35
Year=2011; score=1000000000 - 1000100000,6
Year=2014; score=500000000 - 500100000,8
Year=2018; score=500000000 - 500100000,16
Year=2020; score=500000000 - 500100000,4
Year=2018; score=1000000000 - 1000100000,6
Year=2016; score=500000000 - 500100000,12
Year=2012; score=1000000000 - 1000100000,8
Year=2022; score=50000000 - 50100000,6
Year=2010; score=500000000 - 500100000,3
Year=2021; score=100000000 - 100100000,10
Year=2016; score=1000000000 - 1000100000,3
Year=2017; score=500000000 - 500100000,8
Year=2021; score=1000000000 - 1000100000,1
Year=2014; score=1000000000 - 1000100000,6
Year=2021; score=500000000 - 500100000,2
Year=2020; score=1000000000 - 1000100000,2
Year=2015; score=500000000 - 500100000,2
Year=2022; score=100000000 - 100100000,2
Year=2009; score=500000 - 600000,4
Year=2009; score=5000000 - 5100000,2
Year=2009; score=100000 - 200000,15
Year=2009; score=1000000 - 1100000,9
Year=2009; score=0 - 100000,63
Year=2009; score=500000000 - 500100000,1
Year=2009; score=10000000 - 10100000,7
Year=2009; score=100000000 - 100100000,1
Year=2009; score=50000000 - 50100000,3
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[1000000],235
Price=[0 - 50]; Genre=BUSINESS; Installs=[1],12594
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[50],6186
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[5000000],43
Price=[0 - 50]; Genre=COMICS; Installs=[5000],203
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[100000],9988
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[1000000],1535
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[10000],1728
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[100],19035
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[5],3226
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[5000],3474
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[1000],2084
Price=[0 - 50]; Genre=GAME_CARD; Installs=[50000],701
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[5000000],509
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[5000000],34
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[10000],2946
Price=[350 - 400]; Genre=GAME_ARCADE; Installs=[1],5
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[50],1780
Price=[0 - 50]; Genre=FINANCE; Installs=[1000000],1541
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[50],2403
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[500],2142
Price=[0 - 50]; Genre=GAME_WORD; Installs=[500],949
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[50],7284
Price=[0 - 50]; Genre=GAME_CARD; Installs=[5],242
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[1],1300
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[10],1185
Price=[0 - 50]; Genre=DATING; Installs=[50000],406
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[100000],1344
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[5],3294
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[5000],4098
Price=[0 - 50]; Genre=TOOLS; Installs=[1],9274
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[0],172
Price=[0 - 50]; Genre=GAME_CARD; Installs=[100000],1241
Price=[0 - 50]; Genre=DATING; Installs=[5],216
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[0],57
Price=[0 - 50]; Genre=BEAUTY; Installs=[500000],91
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[0],1563
Price=[0 - 50]; Genre=PERSONALIZATION; Installs=[10],12857
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[50000000],53
Price=[0 - 50]; Genre=GAME_BOARD; Installs=[500000],283
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[100],3445
Price=[0 - 50]; Genre=EDUCATION; Installs=[10],58271
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[5000],7890
Price=[0 - 50]; Genre=BUSINESS; Installs=[500000000],1
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[100000],1316
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[10],6761
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[100000],3979
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[10000],2853
Price=[0 - 50]; Genre=GAME_RACING; Installs=[500000],495
Price=[0 - 50]; Genre=GAME_RACING; Installs=[5000000],193
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[10000000],14
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[10000],4683
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[100],1580
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[5000000],204
Price=[0 - 50]; Genre=TOOLS; Installs=[5],9966
Price=[0 - 50]; Genre=SPORTS; Installs=[50],5211
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[10],26070
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[100],6264
Price=[0 - 50]; Genre=SHOPPING; Installs=[1000],21814
Price=[0 - 50]; Genre=DATING; Installs=[50],544
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[50000],1387
Price=[0 - 50]; Genre=EVENTS; Installs=[50],2770
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[50000],1573
Price=[0 - 50]; Genre=SOCIAL; Installs=[10000],5479
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[50000],655
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[1000],37034
Price=[0 - 50]; Genre=COMICS; Installs=[5000000],22
Price=[50 - 100]; Genre=EDUCATION; Installs=[5],9
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[100000],2046
Price=[0 - 50]; Genre=WEATHER; Installs=[100],1297
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[0],59
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[5],613
Price=[0 - 50]; Genre=TOOLS; Installs=[100000],10271
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[1000000],334
Price=[50 - 100]; Genre=EDUCATION; Installs=[500],16
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[0],71
Price=[0 - 50]; Genre=EDUCATION; Installs=[100],84718
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[5000],524
Price=[200 - 250]; Genre=GAME_SIMULATION; Installs=[0],2
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[500000],568
Price=[50 - 100]; Genre=ENTERTAINMENT; Installs=[0],7
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[10],4099
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[50],1425
Price=[0 - 50]; Genre=BEAUTY; Installs=[50],2658
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[10],13616
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[50],15146
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[10],12539
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[500],5201
Price=[0 - 50]; Genre=DATING; Installs=[10000],1427
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[500],847
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[100000],1490
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[50000],421
Price=[0 - 50]; Genre=WEATHER; Installs=[500],559
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[500],1405
Price=[0 - 50]; Genre=COMICS; Installs=[50],176
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[10],2136
Price=[0 - 50]; Genre=BUSINESS; Installs=[5000000],110
Price=[0 - 50]; Genre=VIDEO_PLAYERS; Installs=[1000000],630
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[5000],1003
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[5000],13079
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[5000000],440
Price=[0 - 50]; Genre=EVENTS; Installs=[5],1108
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[1000],16412
Price=[50 - 100]; Genre=GAME_BOARD; Installs=[10],5
Price=[0 - 50]; Genre=COMICS; Installs=[500000],74
Price=[0 - 50]; Genre=NEWS_AND_MAGAZINES; Installs=[1000],10077
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[100000000],52
Price=[0 - 50]; Genre=GAME_RACING; Installs=[50],893
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[1000000],260
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[1],1921
Price=[0 - 50]; Genre=BEAUTY; Installs=[100000],403
Price=[0 - 50]; Genre=EVENTS; Installs=[10],4720
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[50000],1220
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[1000],1547
Price=[0 - 50]; Genre=COMICS; Installs=[500],206
Price=[0 - 50]; Genre=PHOTOGRAPHY; Installs=[500],2983
Price=[0 - 50]; Genre=FINANCE; Installs=[5000000],304
Price=[0 - 50]; Genre=GAME_CARD; Installs=[1000000],468
Price=[0 - 50]; Genre=GAME_WORD; Installs=[100],2331
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[0],103
Price=[0 - 50]; Genre=FINANCE; Installs=[100],19149
Price=[0 - 50]; Genre=FINANCE; Installs=[500000],1382
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[10000],6425
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[10],3837
Price=[0 - 50]; Genre=BEAUTY; Installs=[10000],1056
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[100000],2127
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[50],656
Price=[0 - 50]; Genre=GAME_RACING; Installs=[500],886
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[100],6352
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[500],1917
Price=[0 - 50]; Genre=FINANCE; Installs=[1000],19503
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[500000],239
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[5000000],84
Price=[0 - 50]; Genre=EDUCATION; Installs=[500],34252
Price=[0 - 50]; Genre=MEDICAL; Installs=[1000],8303
Price=[0 - 50]; Genre=SPORTS; Installs=[5],2028
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[500000],319
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[5],564
Price=[0 - 50]; Genre=TRAVEL_AND_LOCAL; Installs=[10000],6878
Price=[0 - 50]; Genre=TOOLS; Installs=[100],43087
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[50],936
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[10000],2541
Price=[0 - 50]; Genre=ART_AND_DESIGN; Installs=[100],4433
Price=[0 - 50]; Genre=PRODUCTIVITY; Installs=[0],1259
Price=[0 - 50]; Genre=FOOD_AND_DRINK; Installs=[5000000],58
Price=[0 - 50]; Genre=GAME_WORD; Installs=[100000],799
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[10],6046
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[100],35964
Price=[0 - 50]; Genre=COMICS; Installs=[1],152
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[500],2546
Price=[0 - 50]; Genre=MEDICAL; Installs=[100],11722
Price=[0 - 50]; Genre=SPORTS; Installs=[10],8329
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[50],435
Price=[0 - 50]; Genre=GAME_RACING; Installs=[50000],587
Price=[0 - 50]; Genre=GAME_RACING; Installs=[10],1702
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[50],8865
Price=[0 - 50]; Genre=COMICS; Installs=[5],110
Price=[0 - 50]; Genre=DATING; Installs=[500],737
Price=[0 - 50]; Genre=LIFESTYLE; Installs=[50000],3828
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[100000],2660
Price=[0 - 50]; Genre=BEAUTY; Installs=[1000000],114
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[10],2003
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[500],16807
Price=[0 - 50]; Genre=SHOPPING; Installs=[10],33284
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[50000],2141
Price=[0 - 50]; Genre=EVENTS; Installs=[10000],687
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[5000000],304
Price=[0 - 50]; Genre=GAME_CARD; Installs=[5000],782
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[10000],18831
Price=[0 - 50]; Genre=COMICS; Installs=[10000000],13
Price=[100 - 150]; Genre=EDUCATION; Installs=[1],4
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[10],32522
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[0],240
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[10],27207
Price=[0 - 50]; Genre=SOCIAL; Installs=[10],12134
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[5000],1962
Price=[50 - 100]; Genre=GAME_PUZZLE; Installs=[0],3
Price=[0 - 50]; Genre=TOOLS; Installs=[5000],13289
Price=[0 - 50]; Genre=SHOPPING; Installs=[10000],9330
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[5000],2099
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[100],13968
Price=[0 - 50]; Genre=DATING; Installs=[500000],158
Price=[0 - 50]; Genre=EVENTS; Installs=[1],946
Price=[0 - 50]; Genre=GAME_RACING; Installs=[100],2241
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[500000],1302
Price=[50 - 100]; Genre=GAME_CASUAL; Installs=[10],2
Price=[0 - 50]; Genre=FINANCE; Installs=[5],2706
Price=[0 - 50]; Genre=GAME_BOARD; Installs=[100],2214
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[10000],5622
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[10000000],349
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[5],1455
Price=[50 - 100]; Genre=EDUCATION; Installs=[0],18
Price=[0 - 50]; Genre=GAME_ACTION; Installs=[10000000],464
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[500],2080
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[5000000],41
Price=[0 - 50]; Genre=TOOLS; Installs=[1000],38029
Price=[100 - 150]; Genre=BUSINESS; Installs=[0],8
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[10],1011
Price=[50 - 100]; Genre=BOOKS_AND_REFERENCE; Installs=[100],10
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[50],543
Price=[0 - 50]; Genre=BUSINESS; Installs=[0],2043
Price=[50 - 100]; Genre=DATING; Installs=[5],1
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[5000],613
Price=[0 - 50]; Genre=GAME_SPORTS; Installs=[1],299
Price=[0 - 50]; Genre=BEAUTY; Installs=[5000],647
Price=[0 - 50]; Genre=EDUCATION; Installs=[0],4701
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[500],5871
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[10000000],417
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[5000000],183
Price=[0 - 50]; Genre=HEALTH_AND_FITNESS; Installs=[50],3478
Price=[250 - 300]; Genre=GAME_ARCADE; Installs=[10],2
Price=[0 - 50]; Genre=EDUCATION; Installs=[1000],65409
Price=[0 - 50]; Genre=FINANCE; Installs=[50],7178
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[500],1912
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[1000000],686
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[1],639
Price=[100 - 150]; Genre=GAME_PUZZLE; Installs=[1],1
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[100000],2581
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[1],6662
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[10000],1188
Price=[0 - 50]; Genre=GAME_MUSIC; Installs=[0],30
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[500000],830
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[100],18619
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[5],3378
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[0],2063
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[500000],648
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[1000],5161
Price=[0 - 50]; Genre=GAME_CARD; Installs=[50],570
Price=[0 - 50]; Genre=COMMUNICATION; Installs=[100000],2191
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[1000],9321
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[10000000],520
Price=[350 - 400]; Genre=ART_AND_DESIGN; Installs=[5],1
Price=[0 - 50]; Genre=GAME_CASINO; Installs=[500000],227
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[500000],457
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[500000],805
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[500000],465
Price=[0 - 50]; Genre=AUTO_AND_VEHICLES; Installs=[50000],689
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[5],6831
Price=[0 - 50]; Genre=DATING; Installs=[100],1545
Price=[0 - 50]; Genre=DATING; Installs=[1],161
Price=[0 - 50]; Genre=GAME_CASINO; Installs=[500],521
Price=[0 - 50]; Genre=GAME_ARCADE; Installs=[50],7893
Price=[0 - 50]; Genre=GAME_BOARD; Installs=[50000],606
Price=[0 - 50]; Genre=WEATHER; Installs=[10000],1434
Price=[0 - 50]; Genre=GAME_SIMULATION; Installs=[50000000],46
Price=[0 - 50]; Genre=GAME_ROLE_PLAYING; Installs=[1],288
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[0],2358
Price=[0 - 50]; Genre=GAME_STRATEGY; Installs=[100],1913
Price=[0 - 50]; Genre=BOOKS_AND_REFERENCE; Installs=[10],15658
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[1000],4305
Price=[0 - 50]; Genre=HOUSE_AND_HOME; Installs=[1],696
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[5],7060
Price=[0 - 50]; Genre=GAME_CARD; Installs=[10000],1869
Price=[50 - 100]; Genre=BOOKS_AND_REFERENCE; Installs=[1],3
Price=[0 - 50]; Genre=MUSIC_AND_AUDIO; Installs=[100000],5318
Price=[0 - 50]; Genre=FINANCE; Installs=[1],2174
Price=[0 - 50]; Genre=GAME_PUZZLE; Installs=[1000],11476
Price=[0 - 50]; Genre=ENTERTAINMENT; Installs=[500000],2315
Price=[100 - 150]; Genre=EDUCATION; Installs=[10],8
Price=[100 - 150]; Genre=FOOD_AND_DRINK; Installs=[1],10
Price=[0 - 50]; Genre=GAME_CASUAL; Installs=[50000000],61
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[5],1540
Price=[0 - 50]; Genre=BEAUTY; Installs=[1000],2391
Price=[0 - 50]; Genre=FINANCE; Installs=[500000000],2
Price=[0 - 50]; Genre=GAME_ADVENTURE; Installs=[1000],4341
Price=[0 - 50]; Genre=GAME_TRIVIA; Installs=[5],855
Price=[350 - 400]; Genre=ENTERTAINMENT; Installs=[1],6
Price=[0 - 50]; Genre=SHOPPING; Installs=[50000],2332
Price=[0 - 50]; Genre=GAME_EDUCATIONAL; Installs=[5000],1505
Price=[0 - 50]; Genre=BEAUTY; Installs=[50000],272
Price=[300 - 350]; Genre=EDUCATION; Installs=[0],1
