metric,value
Free=true; Genre=GAME_SPORTS; Year=2017,624
Free=false; Genre=BUSINESS; Year=2020,270
Free=true; Genre=HOUSE_AND_HOME; Year=2021,3820
Free=true; Genre=GAME_CASINO; Year=2017,523
Free=true; Genre=TRAVEL_AND_LOCAL; Year=2022,8838
Free=true; Genre=GAME_ACTION; Year=2020,7309
Free=true; Genre=GAME_PUZZLE; Year=2021,17019
Free=true; Genre=GAME_BOARD; Year=2011,81
Free=true; Genre=EVENTS; Year=2019,5426
Free=true; Genre=GAME_SPORTS; Year=2014,399
Free=false; Genre=AUTO_AND_VEHICLES; Year=2021,113
Free=true; Genre=GAME_PUZZLE; Year=2022,14617
Free=true; Genre=GAME_SIMULATION; Year=2022,8917
Free=false; Genre=GAME_EDUCATIONAL; Year=2017,243
Free=true; Genre=MUSIC_AND_AUDIO; Year=2019,33219
Free=true; Genre=DATING; Year=2016,130
Free=false; Genre=ENTERTAINMENT; Year=2016,315
Free=false; Genre=FINANCE; Year=2022,74
Free=true; Genre=GAME_ARCADE; Year=2016,3246
Free=false; Genre=GAME_STRATEGY; Year=2016,69
Free=false; Genre=HEALTH_AND_FITNESS; Year=2010,47
Free=true; Genre=PERSONALIZATION; Year=2020,6837
Free=true; Genre=DATING; Year=2015,79
Free=true; Genre=GAME_ADVENTURE; Year=2021,7007
Free=false; Genre=GAME_PUZZLE; Year=2016,233
Free=false; Genre=GAME_ROLE_PLAYING; Year=2020,126
Free=false; Genre=GAME_SIMULATION; Year=2012,17
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2016,2580
Free=false; Genre=EDUCATION; Year=2017,1464
Free=true; Genre=GAME_STRATEGY; Year=2017,774
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2014,3319
Free=false; Genre=GAME_EDUCATIONAL; Year=2012,26
Free=true; Genre=GAME_ROLE_PLAYING; Year=2016,542
Free=false; Genre=GAME_TRIVIA; Year=2020,66
Free=true; Genre=HEALTH_AND_FITNESS; Year=2014,151
Free=false; Genre=EDUCATION; Year=2011,332
Free=true; Genre=GAME_EDUCATIONAL; Year=2015,1355
Free=true; Genre=COMMUNICATION; Year=2022,11562
Free=false; Genre=COMICS; Year=2013,16
Free=false; Genre=COMICS; Year=2016,10
Free=false; Genre=GAME_ROLE_PLAYING; Year=2012,33
Free=true; Genre=SPORTS; Year=2022,8873
Free=true; Genre=BOOKS_AND_REFERENCE; Year=2011,581
Free=true; Genre=EDUCATION; Year=2021,81740
Free=true; Genre=GAME_MUSIC; Year=2021,1834
Free=true; Genre=GAME_SPORTS; Year=2012,96
Free=true; Genre=DATING; Year=2022,2562
Free=true; Genre=PERSONALIZATION; Year=2019,6540
Free=true; Genre=GAME_EDUCATIONAL; Year=2014,876
Free=true; Genre=EVENTS; Year=2020,4172
Free=true; Genre=GAME_CASINO; Year=2015,396
Free=false; Genre=GAME_CASUAL; Year=2014,132
Free=false; Genre=HEALTH_AND_FITNESS; Year=2018,217
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2020,2079
Free=true; Genre=GAME_BOARD; Year=2019,1828
Free=false; Genre=GAME_SIMULATION; Year=2015,81
Free=true; Genre=COMMUNICATION; Year=2019,13533
Free=false; Genre=GAME_CARD; Year=2021,49
Free=false; Genre=TOOLS; Year=2015,583
Free=true; Genre=PERSONALIZATION; Year=2018,5432
Free=true; Genre=GAME_ARCADE; Year=2017,4115
Free=false; Genre=GAME_BOARD; Year=2020,102
Free=false; Genre=GAME_RACING; Year=2015,21
Free=true; Genre=GAME_ROLE_PLAYING; Year=2021,3557
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2010,94
Free=true; Genre=COMMUNICATION; Year=2012,414
Free=true; Genre=GAME_ACTION; Year=2021,10187
Free=false; Genre=PERSONALIZATION; Year=2013,555
Free=true; Genre=GAME_PUZZLE; Year=2011,485
Free=false; Genre=GAME_CASUAL; Year=2016,104
Free=false; Genre=GAME_MUSIC; Year=2019,13
Free=true; Genre=GAME_WORD; Year=2022,2849
Free=true; Genre=HEALTH_AND_FITNESS; Year=2011,41
Free=true; Genre=MAPS_AND_NAVIGATION; Year=2021,6932
Free=true; Genre=LIFESTYLE; Year=2021,27959
Free=true; Genre=PRODUCTIVITY; Year=2022,17384
Free=true; Genre=PHOTOGRAPHY; Year=2018,3962
Free=true; Genre=GAME_ARCADE; Year=2015,2531
Free=true; Genre=GAME_SIMULATION; Year=2017,2216
Free=true; Genre=GAME_STRATEGY; Year=2012,55
Free=false; Genre=GAME_STRATEGY; Year=2022,72
Free=true; Genre=HEALTH_AND_FITNESS; Year=2019,2480
Free=true; Genre=SHOPPING; Year=2022,24820
Free=false; Genre=GAME_ACTION; Year=2020,242
Free=false; Genre=GAME_BOARD; Year=2022,62
Free=true; Genre=GAME_EDUCATIONAL; Year=2013,326
Free=false; Genre=GAME_RACING; Year=2019,37
Free=true; Genre=FOOD_AND_DRINK; Year=2021,14654
Free=true; Genre=GAME_MUSIC; Year=2016,172
Free=false; Genre=AUTO_AND_VEHICLES; Year=2022,37
Free=false; Genre=GAME_ADVENTURE; Year=2019,255
Free=true; Genre=GAME_BOARD; Year=2016,762
Free=true; Genre=GAME_RACING; Year=2018,987
Free=false; Genre=GAME_MUSIC; Year=2021,27
Free=false; Genre=GAME_PUZZLE; Year=2018,245
Free=false; Genre=BUSINESS; Year=2013,113
Free=false; Genre=GAME_ARCADE; Year=2021,288
Free=true; Genre=GAME_BOARD; Year=2020,2906
Free=false; Genre=BUSINESS; Year=2010,20
Free=true; Genre=ENTERTAINMENT; Year=2017,10373
Free=true; Genre=EVENTS; Year=2022,4244
Free=true; Genre=BEAUTY; Year=2020,5376
Free=true; Genre=GAME_SIMULATION; Year=2016,1511
Free=false; Genre=BUSINESS; Year=2015,103
Free=true; Genre=PRODUCTIVITY; Year=2021,33268
Free=false; Genre=GAME_ARCADE; Year=2020,400
Free=false; Genre=ART_AND_DESIGN; Year=2020,248
Free=true; Genre=EDUCATION; Year=2013,3668
Free=true; Genre=GAME_WORD; Year=2019,1609
Free=true; Genre=GAME_TRIVIA; Year=2022,2875
Free=false; Genre=COMMUNICATION; Year=2010,17
Free=true; Genre=COMMUNICATION; Year=2018,7093
Free=true; Genre=GAME_ACTION; Year=2012,68
Free=true; Genre=GAME_CARD; Year=2019,1289
Free=false; Genre=GAME_PUZZLE; Year=2013,221
Free=true; Genre=GAME_TRIVIA; Year=2014,388
Free=true; Genre=HEALTH_AND_FITNESS; Year=2017,938
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2012,462
Free=true; Genre=FINANCE; Year=2022,12577
Free=false; Genre=FOOD_AND_DRINK; Year=2020,162
Free=false; Genre=GAME_EDUCATIONAL; Year=2015,218
Free=false; Genre=AUTO_AND_VEHICLES; Year=2014,18
Free=true; Genre=ENTERTAINMENT; Year=2015,5061
Free=true; Genre=GAME_BOARD; Year=2021,2960
Free=true; Genre=GAME_SPORTS; Year=2022,1907
Free=true; Genre=GAME_CARD; Year=2011,138
Free=false; Genre=GAME_SPORTS; Year=2021,52
Free=true; Genre=BEAUTY; Year=2015,62
Free=true; Genre=EDUCATION; Year=2017,24854
Free=true; Genre=GAME_SIMULATION; Year=2018,2456
Free=false; Genre=GAME_ADVENTURE; Year=2015,118
Free=true; Genre=GAME_CASUAL; Year=2020,15522
Free=true; Genre=GAME_STRATEGY; Year=2016,555
Free=false; Genre=ART_AND_DESIGN; Year=2018,99
Free=true; Genre=GAME_BOARD; Year=2017,960
Free=false; Genre=GAME_ROLE_PLAYING; Year=2021,111
Free=true; Genre=BEAUTY; Year=2021,5148
Free=true; Genre=ENTERTAINMENT; Year=2018,14359
Free=true; Genre=GAME_ADVENTURE; Year=2018,2140
Free=true; Genre=GAME_EDUCATIONAL; Year=2011,48
Free=false; Genre=GAME_EDUCATIONAL; Year=2019,350
Free=true; Genre=GAME_RACING; Year=2019,1524
Free=false; Genre=COMMUNICATION; Year=2013,48
Free=false; Genre=AUTO_AND_VEHICLES; Year=2019,115
Free=false; Genre=TOOLS; Year=2022,720
Free=true; Genre=EVENTS; Year=2014,63
Free=false; Genre=GAME_ACTION; Year=2022,196
Free=true; Genre=AUTO_AND_VEHICLES; Year=2014,159
Free=false; Genre=BEAUTY; Year=2015,1
Free=false; Genre=BUSINESS; Year=2018,175
Free=true; Genre=ENTERTAINMENT; Year=2010,175
Free=false; Genre=GAME_ADVENTURE; Year=2020,312
Free=false; Genre=GAME_CARD; Year=2022,25
Free=true; Genre=GAME_SIMULATION; Year=2020,4855
Free=false; Genre=GAME_TRIVIA; Year=2021,79
Free=true; Genre=PRODUCTIVITY; Year=2018,13195
Free=true; Genre=ENTERTAINMENT; Year=2014,2895
Free=true; Genre=GAME_ACTION; Year=2014,995
Free=true; Genre=GAME_ACTION; Year=2016,1749
Free=true; Genre=GAME_SPORTS; Year=2019,1253
Free=true; Genre=ART_AND_DESIGN; Year=2019,5385
Free=true; Genre=GAME_ACTION; Year=2019,4674
Free=true; Genre=GAME_EDUCATIONAL; Year=2020,6083
Free=true; Genre=PERSONALIZATION; Year=2021,15541
Free=false; Genre=GAME_BOARD; Year=2019,87
Free=false; Genre=GAME_PUZZLE; Year=2017,212
Free=true; Genre=MUSIC_AND_AUDIO; Year=2020,46501
Free=false; Genre=COMICS; Year=2018,13
Free=true; Genre=HEALTH_AND_FITNESS; Year=2016,464
Free=true; Genre=HEALTH_AND_FITNESS; Year=2012,61
Free=true; Genre=GAME_STRATEGY; Year=2021,3155
Free=false; Genre=GAME_RACING; Year=2017,21
Free=false; Genre=BUSINESS; Year=2021,143
Free=true; Genre=GAME_PUZZLE; Year=2019,7940
Free=false; Genre=GAME_ARCADE; Year=2016,127
Free=true; Genre=GAME_MUSIC; Year=2022,2797
Free=false; Genre=BUSINESS; Year=2017,160
Free=true; Genre=FINANCE; Year=2021,22906
Free=true; Genre=FOOD_AND_DRINK; Year=2013,308
Free=true; Genre=GAME_MUSIC; Year=2014,98
Free=true; Genre=PERSONALIZATION; Year=2022,26832
Free=true; Genre=FINANCE; Year=2014,2559
Free=true; Genre=GAME_MUSIC; Year=2017,254
Free=true; Genre=GAME_CASINO; Year=2021,1481
Free=true; Genre=BEAUTY; Year=2018,2335
Free=false; Genre=GAME_ROLE_PLAYING; Year=2015,89
Free=false; Genre=GAME_ROLE_PLAYING; Year=2011,16
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2016,628
Free=false; Genre=ENTERTAINMENT; Year=2017,288
Free=true; Genre=GAME_PUZZLE; Year=2017,4295
Free=false; Genre=HEALTH_AND_FITNESS; Year=2012,108
Free=false; Genre=BOOKS_AND_REFERENCE; Year=2022,308
Free=true; Genre=BUSINESS; Year=2012,1281
Free=true; Genre=MEDICAL; Year=2020,10318
Free=true; Genre=HEALTH_AND_FITNESS; Year=2010,10
Free=true; Genre=GAME_ARCADE; Year=2020,16183
Free=true; Genre=COMMUNICATION; Year=2016,2896
Free=true; Genre=DATING; Year=2020,2007
Free=false; Genre=GAME_ACTION; Year=2021,200
Free=false; Genre=ART_AND_DESIGN; Year=2022,62
Free=false; Genre=AUTO_AND_VEHICLES; Year=2020,121
